time,event_type,pair,side,price,size,is_snapshot,trade_id
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16813695.000000,1.433387,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822123.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822126.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822127.000000,0.002370,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16851591.000000,0.010000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16852558.000000,0.030000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16853969.000000,0.039945,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822103.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822106.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16822107.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16842601.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16850197.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16851863.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16852337.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16851220.000000,0.015000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16864312.000000,0.015000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16864550.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,ask,16857606.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16852558.000000,0.000000,true,
2025-08-03 14:01:12.12715+00,book,btc_jpy,bid,16851424.000000,0.000000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:12.493412+00,book,btc_jpy,ask,16859669.000000,0.020000,true,
